Statistic,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Homicide offences,Number,7
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Murder,Number,4
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Manslaughter,Number,2
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Dangerous driving leading to death,Number,1
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Sexual offences,Number,174
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Rape and sexual assault,Number,154
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Other sexual offences,Number,20
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1072
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Murder-attempt,Number,2
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Threat to kill or cause serious harm,Number,1
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Harassment and related offences,Number,64
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Assault causing harm, poisoning",Number,408
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Other assault,Number,597
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Dangerous or negligent acts,Number,742
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm,Number,2
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,699
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs,Number,9
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death,Number,7
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty",Number,6
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities,Number,3
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Endangering traffic offences,Number,16
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Kidnapping and related offences,Number,16
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,False imprisonment,Number,12
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Abduction of person under 16 years of age,Number,4
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences",Number,586
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Robbery of an establishment or institution,Number,216
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Robbery of cash or goods in transit,Number,10
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Robbery from the person,Number,339
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Blackmail or extortion,Number,4
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,17
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Burglary and related offences,Number,2973
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Aggravated burglary,Number,64
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Burglary (not aggravated),Number,2857
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand)",Number,52
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Theft and related offences,Number,9179
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences,Number,1902
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Theft from person,Number,1029
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Theft from shop,Number,1872
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Other thefts, handling stolen property",Number,4376
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Fraud, deception and related offences",Number,387
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Controlled drug offences,Number,630
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Importation of drugs,Number,4
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs,Number,0
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Possession of drugs for sale or supply,Number,271
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Possession of drugs for personal use,Number,323
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Other drug offences,Number,32
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Weapons and Explosives Offences,Number,240
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences",Number,1
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Discharging a firearm,Number,25
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Possession of a firearm,Number,45
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.),Number,169
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Fireworks offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Damage to property and to the environment,Number,3738
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Arson,Number,115
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,3618
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Litter offences,Number,5
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Public order and other social code offences,Number,3300
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Disorderly conduct,Number,2852
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Trespass offences,Number,211
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Liquor licensing offences,Number,28
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Prostitution offences,Number,39
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,25
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,145
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime",Number,1008
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Offences against government and its agents,Number,17
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime,Number,3
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,Perverting the course of justice,Number,17
Recorded Crime Offences Under Reservation,2003Q1,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,971
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Homicide offences,Number,5
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Murder,Number,1
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Manslaughter,Number,2
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Dangerous driving leading to death,Number,2
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Sexual offences,Number,136
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Rape and sexual assault,Number,131
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Other sexual offences,Number,5
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,887
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Threat to kill or cause serious harm,Number,1
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Harassment and related offences,Number,101
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Assault causing harm, poisoning",Number,238
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Other assault,Number,547
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Dangerous or negligent acts,Number,680
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Dangerous driving causing serious bodily harm,Number,1
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,660
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs,Number,5
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Endangerment with potential for serious harm/death,Number,2
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Abandoning a child, child neglect and cruelty",Number,7
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Endangering traffic offences,Number,5
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Kidnapping and related offences,Number,5
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,False imprisonment,Number,5
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Abduction of person under 16 years of age,Number,0
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Robbery, extortion and hijacking offences",Number,48
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Robbery of an establishment or institution,Number,16
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Robbery of cash or goods in transit,Number,0
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Robbery from the person,Number,30
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Blackmail or extortion,Number,1
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,1
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Burglary and related offences,Number,856
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Aggravated burglary,Number,2
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Burglary (not aggravated),Number,851
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand)",Number,3
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Theft and related offences,Number,2357
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Theft/taking of vehicle and related offences,Number,410
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Theft from person,Number,134
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Theft from shop,Number,513
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Other thefts, handling stolen property",Number,1300
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Fraud, deception and related offences",Number,194
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Controlled drug offences,Number,239
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Importation of drugs,Number,1
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Cultivation or manufacture of drugs,Number,5
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Possession of drugs for sale or supply,Number,59
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Possession of drugs for personal use,Number,163
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Other drug offences,Number,11
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Weapons and Explosives Offences,Number,65
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Explosives, chemical weapons offences",Number,0
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Discharging a firearm,Number,7
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Possession of a firearm,Number,25
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Offensive weapons offences (n.e.c.),Number,33
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Fireworks offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Damage to property and to the environment,Number,1555
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Arson,Number,68
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Criminal damage (not arson),Number,1483
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Litter offences,Number,4
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Public order and other social code offences,Number,1729
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Disorderly conduct,Number,1437
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Trespass offences,Number,32
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Liquor licensing offences,Number,229
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Prostitution offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Regulated betting/money, collection/trading offences",Number,2
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Social code offences (n.e.c.),Number,29
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Offences against government, justice procedures and organisation of crime",Number,168
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Offences against government and its agents,Number,8
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Organisation of crime and conspiracy to commit crime,Number,1
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,Perverting the course of justice,Number,9
Recorded Crime Offences Under Reservation,2003Q1,20 North Western Region,"Offences while in custody, breach of court orders",Number,150
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Homicide offences,Number,8
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Murder,Number,2
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Manslaughter,Number,1
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Dangerous driving leading to death,Number,5
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Sexual offences,Number,148
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Rape and sexual assault,Number,141
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Other sexual offences,Number,7
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,778
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Threat to kill or cause serious harm,Number,1
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Harassment and related offences,Number,81
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Assault causing harm, poisoning",Number,233
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Other assault,Number,463
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Dangerous or negligent acts,Number,716
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Dangerous driving causing serious bodily harm,Number,1
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,684
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs,Number,5
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Endangerment with potential for serious harm/death,Number,4
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Abandoning a child, child neglect and cruelty",Number,12
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Endangering traffic offences,Number,10
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Kidnapping and related offences,Number,5
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,False imprisonment,Number,5
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Abduction of person under 16 years of age,Number,0
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Robbery, extortion and hijacking offences",Number,90
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Robbery of an establishment or institution,Number,44
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Robbery of cash or goods in transit,Number,4
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Robbery from the person,Number,41
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Blackmail or extortion,Number,0
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,1
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Burglary and related offences,Number,1697
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Aggravated burglary,Number,14
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Burglary (not aggravated),Number,1678
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,5
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Theft and related offences,Number,3323
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Theft/taking of vehicle and related offences,Number,494
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Theft from person,Number,160
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Theft from shop,Number,642
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Other thefts, handling stolen property",Number,2027
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Fraud, deception and related offences",Number,267
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Controlled drug offences,Number,540
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Importation of drugs,Number,4
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Cultivation or manufacture of drugs,Number,2
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Possession of drugs for sale or supply,Number,141
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Possession of drugs for personal use,Number,373
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Other drug offences,Number,20
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Weapons and Explosives Offences,Number,97
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Explosives, chemical weapons offences",Number,0
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Discharging a firearm,Number,8
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Possession of a firearm,Number,36
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Offensive weapons offences (n.e.c.),Number,53
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Fireworks offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Damage to property and to the environment,Number,1503
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Arson,Number,50
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Criminal damage (not arson),Number,1450
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Litter offences,Number,3
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Public order and other social code offences,Number,2490
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Disorderly conduct,Number,2137
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Trespass offences,Number,61
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Liquor licensing offences,Number,269
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Prostitution offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Regulated betting/money, collection/trading offences",Number,2
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Social code offences (n.e.c.),Number,21
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Offences against government, justice procedures and organisation of crime",Number,275
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Offences against government and its agents,Number,17
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Organisation of crime and conspiracy to commit crime,Number,2
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,Perverting the course of justice,Number,9
Recorded Crime Offences Under Reservation,2003Q1,30 Eastern Region,"Offences while in custody, breach of court orders",Number,247
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Homicide offences,Number,8
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Murder,Number,3
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Manslaughter,Number,2
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Dangerous driving leading to death,Number,3
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Sexual offences,Number,117
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Rape and sexual assault,Number,107
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Other sexual offences,Number,10
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,899
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Threat to kill or cause serious harm,Number,6
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Harassment and related offences,Number,101
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Assault causing harm, poisoning",Number,265
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Other assault,Number,527
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Dangerous or negligent acts,Number,607
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Dangerous driving causing serious bodily harm,Number,0
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,591
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs,Number,3
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Endangerment with potential for serious harm/death,Number,3
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Abandoning a child, child neglect and cruelty",Number,7
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,False alarm/interference with aircraft or air transport facilities,Number,2
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Endangering traffic offences,Number,1
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Kidnapping and related offences,Number,12
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,False imprisonment,Number,9
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Abduction of person under 16 years of age,Number,3
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Robbery, extortion and hijacking offences",Number,118
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Robbery of an establishment or institution,Number,51
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Robbery of cash or goods in transit,Number,1
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Robbery from the person,Number,64
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Blackmail or extortion,Number,0
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,2
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Burglary and related offences,Number,1055
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Aggravated burglary,Number,14
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Burglary (not aggravated),Number,1038
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,3
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Theft and related offences,Number,3548
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Theft/taking of vehicle and related offences,Number,561
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Theft from person,Number,317
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Theft from shop,Number,823
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Other thefts, handling stolen property",Number,1847
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Fraud, deception and related offences",Number,288
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Controlled drug offences,Number,474
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Importation of drugs,Number,0
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Cultivation or manufacture of drugs,Number,5
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Possession of drugs for sale or supply,Number,104
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Possession of drugs for personal use,Number,354
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Other drug offences,Number,11
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Weapons and Explosives Offences,Number,111
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Explosives, chemical weapons offences",Number,1
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Discharging a firearm,Number,14
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Possession of a firearm,Number,21
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Offensive weapons offences (n.e.c.),Number,75
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Fireworks offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Damage to property and to the environment,Number,1933
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Arson,Number,108
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Criminal damage (not arson),Number,1815
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Litter offences,Number,10
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Public order and other social code offences,Number,2250
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Disorderly conduct,Number,2053
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Trespass offences,Number,42
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Liquor licensing offences,Number,121
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,Prostitution offences,Number,0
Recorded Crime Offences Under Reservation,2003Q1,40 Southern Region,"Regulated betting/money, collection/trading offences",Number,19
