Statistic,Year,Area of Residence,Age Group of Mother,UNIT,VALUE
Births,2008,Rest of Wicklow,35 - 39 years,Number,443
Births,2008,Rest of Wicklow,40 - 44 years,Number,63
Births,2008,Rest of Wicklow,45 years and over,Number,6
Births,2008,Rest of Wicklow,Age not stated,Number,
Births,2008,Rest of Wicklow,All ages,Number,1673
Births,2008,Carlow,Under 20 years,Number,25
Births,2008,Carlow,20 - 24 years,Number,174
Births,2008,Carlow,25 - 29 years,Number,277
Births,2008,Carlow,30 - 34 years,Number,365
Births,2008,Carlow,35 - 39 years,Number,199
Births,2008,Carlow,40 - 44 years,Number,42
Births,2008,Carlow,45 years and over,Number,2
Births,2008,Carlow,Age not stated,Number,1
Births,2008,Carlow,All ages,Number,1085
Births,2008,Carlow Town,Under 20 years,Number,9
Births,2008,Carlow Town,20 - 24 years,Number,56
Births,2008,Carlow Town,25 - 29 years,Number,81
Births,2008,Carlow Town,30 - 34 years,Number,93
Births,2008,Carlow Town,35 - 39 years,Number,37
Births,2008,Carlow Town,40 - 44 years,Number,11
Births,2008,Carlow Town,45 years and over,Number,
Births,2008,Carlow Town,Age not stated,Number,
Births,2008,Carlow Town,All ages,Number,287
Births,2008,Bagenalstown (Muine Bheag),Under 20 years,Number,
Births,2008,Bagenalstown (Muine Bheag),20 - 24 years,Number,
Births,2008,Bagenalstown (Muine Bheag),25 - 29 years,Number,
Births,2008,Bagenalstown (Muine Bheag),30 - 34 years,Number,
Births,2008,Bagenalstown (Muine Bheag),35 - 39 years,Number,
Births,2008,Bagenalstown (Muine Bheag),40 - 44 years,Number,
Births,2008,Bagenalstown (Muine Bheag),45 years and over,Number,
Births,2008,Bagenalstown (Muine Bheag),Age not stated,Number,
Births,2008,Bagenalstown (Muine Bheag),All ages,Number,
Births,2008,Rest of Co. Carlow,Under 20 years,Number,16
Births,2008,Rest of Co. Carlow,20 - 24 years,Number,118
Births,2008,Rest of Co. Carlow,25 - 29 years,Number,196
Births,2008,Rest of Co. Carlow,30 - 34 years,Number,272
Births,2008,Rest of Co. Carlow,35 - 39 years,Number,162
Births,2008,Rest of Co. Carlow,40 - 44 years,Number,31
Births,2008,Rest of Co. Carlow,45 years and over,Number,2
Births,2008,Rest of Co. Carlow,Age not stated,Number,1
Births,2008,Rest of Co. Carlow,All ages,Number,798
Births,2008,Kildare,Under 20 years,Number,100
Births,2008,Kildare,20 - 24 years,Number,425
Births,2008,Kildare,25 - 29 years,Number,962
Births,2008,Kildare,30 - 34 years,Number,1426
Births,2008,Kildare,35 - 39 years,Number,915
Births,2008,Kildare,40 - 44 years,Number,149
Births,2008,Kildare,45 years and over,Number,9
Births,2008,Kildare,Age not stated,Number,2
Births,2008,Kildare,All ages,Number,3988
Births,2008,Athy Town,Under 20 years,Number,8
Births,2008,Athy Town,20 - 24 years,Number,38
Births,2008,Athy Town,25 - 29 years,Number,71
Births,2008,Athy Town,30 - 34 years,Number,83
Births,2008,Athy Town,35 - 39 years,Number,37
Births,2008,Athy Town,40 - 44 years,Number,6
Births,2008,Athy Town,45 years and over,Number,
Births,2008,Athy Town,Age not stated,Number,
Births,2008,Athy Town,All ages,Number,243
Births,2008,Naas Town,Under 20 years,Number,11
Births,2008,Naas Town,20 - 24 years,Number,60
