Statistic,Year,Area of Residence,Age Group of Mother,UNIT,VALUE
Births,2010,Galway County,45 years and over,Number,15
Births,2010,Galway County,Age not stated,Number,1
Births,2010,Galway County,All ages,Number,2881
Births,2010,Ballinasloe Town,Under 20 years,Number,16
Births,2010,Ballinasloe Town,20 - 24 years,Number,30
Births,2010,Ballinasloe Town,25 - 29 years,Number,96
Births,2010,Ballinasloe Town,30 - 34 years,Number,142
Births,2010,Ballinasloe Town,35 - 39 years,Number,92
Births,2010,Ballinasloe Town,40 - 44 years,Number,13
Births,2010,Ballinasloe Town,45 years and over,Number,
Births,2010,Ballinasloe Town,Age not stated,Number,
Births,2010,Ballinasloe Town,All ages,Number,389
Births,2010,Loughrea,Under 20 years,Number,
Births,2010,Loughrea,20 - 24 years,Number,
Births,2010,Loughrea,25 - 29 years,Number,
Births,2010,Loughrea,30 - 34 years,Number,
Births,2010,Loughrea,35 - 39 years,Number,
Births,2010,Loughrea,40 - 44 years,Number,
Births,2010,Loughrea,45 years and over,Number,
Births,2010,Loughrea,Age not stated,Number,
Births,2010,Loughrea,All ages,Number,
Births,2010,Tuam,Under 20 years,Number,
Births,2010,Tuam,20 - 24 years,Number,
Births,2010,Tuam,25 - 29 years,Number,
Births,2010,Tuam,30 - 34 years,Number,
Births,2010,Tuam,35 - 39 years,Number,
Births,2010,Tuam,40 - 44 years,Number,
Births,2010,Tuam,45 years and over,Number,
Births,2010,Tuam,Age not stated,Number,
Births,2010,Tuam,All ages,Number,
Births,2010,Rest of Co. Galway,Under 20 years,Number,47
Births,2010,Rest of Co. Galway,20 - 24 years,Number,176
Births,2010,Rest of Co. Galway,25 - 29 years,Number,475
Births,2010,Rest of Co. Galway,30 - 34 years,Number,926
Births,2010,Rest of Co. Galway,35 - 39 years,Number,710
Births,2010,Rest of Co. Galway,40 - 44 years,Number,142
Births,2010,Rest of Co. Galway,45 years and over,Number,15
Births,2010,Rest of Co. Galway,Age not stated,Number,1
Births,2010,Rest of Co. Galway,All ages,Number,2492
Births,2010,Ulster (pt),Under 20 years,Number,103
Births,2010,Ulster (pt),20 - 24 years,Number,497
Births,2010,Ulster (pt),25 - 29 years,Number,1116
Births,2010,Ulster (pt),30 - 34 years,Number,1514
Births,2010,Ulster (pt),35 - 39 years,Number,886
Births,2010,Ulster (pt),40 - 44 years,Number,203
Births,2010,Ulster (pt),45 years and over,Number,7
Births,2010,Ulster (pt),Age not stated,Number,1
Births,2010,Ulster (pt),All ages,Number,4327
Births,2010,Cavan,Under 20 years,Number,17
Births,2010,Cavan,20 - 24 years,Number,137
Births,2010,Cavan,25 - 29 years,Number,325
Births,2010,Cavan,30 - 34 years,Number,425
Births,2010,Cavan,35 - 39 years,Number,260
Births,2010,Cavan,40 - 44 years,Number,59
Births,2010,Cavan,45 years and over,Number,2
Births,2010,Cavan,Age not stated,Number,
Births,2010,Cavan,All ages,Number,1225
Births,2010,Cavan Town,Under 20 years,Number,7
Births,2010,Cavan Town,20 - 24 years,Number,43
Births,2010,Cavan Town,25 - 29 years,Number,84
Births,2010,Cavan Town,30 - 34 years,Number,86
Births,2010,Cavan Town,35 - 39 years,Number,42
Births,2010,Cavan Town,40 - 44 years,Number,9
Births,2010,Cavan Town,45 years and over,Number,
Births,2010,Cavan Town,Age not stated,Number,
Births,2010,Cavan Town,All ages,Number,271
Births,2010,Belturbet,Under 20 years,Number,
Births,2010,Belturbet,20 - 24 years,Number,
Births,2010,Belturbet,25 - 29 years,Number,
Births,2010,Belturbet,30 - 34 years,Number,
Births,2010,Belturbet,35 - 39 years,Number,
Births,2010,Belturbet,40 - 44 years,Number,
Births,2010,Belturbet,45 years and over,Number,
Births,2010,Belturbet,Age not stated,Number,
Births,2010,Belturbet,All ages,Number,
Births,2010,Cootehill,Under 20 years,Number,
Births,2010,Cootehill,20 - 24 years,Number,
Births,2010,Cootehill,25 - 29 years,Number,
Births,2010,Cootehill,30 - 34 years,Number,
Births,2010,Cootehill,35 - 39 years,Number,
Births,2010,Cootehill,40 - 44 years,Number,
Births,2010,Cootehill,45 years and over,Number,
Births,2010,Cootehill,Age not stated,Number,
Births,2010,Cootehill,All ages,Number,
Births,2010,Rest of Co. Cavan,Under 20 years,Number,10
Births,2010,Rest of Co. Cavan,20 - 24 years,Number,94
Births,2010,Rest of Co. Cavan,25 - 29 years,Number,241
Births,2010,Rest of Co. Cavan,30 - 34 years,Number,339
Births,2010,Rest of Co. Cavan,35 - 39 years,Number,218
Births,2010,Rest of Co. Cavan,40 - 44 years,Number,50
Births,2010,Rest of Co. Cavan,45 years and over,Number,2
Births,2010,Rest of Co. Cavan,Age not stated,Number,
Births,2010,Rest of Co. Cavan,All ages,Number,954
Births,2010,Donegal,Under 20 years,Number,66
Births,2010,Donegal,20 - 24 years,Number,257
Births,2010,Donegal,25 - 29 years,Number,564
Births,2010,Donegal,30 - 34 years,Number,763
Births,2010,Donegal,35 - 39 years,Number,453
Births,2010,Donegal,40 - 44 years,Number,108
Births,2010,Donegal,45 years and over,Number,3
Births,2010,Donegal,Age not stated,Number,1
Births,2010,Donegal,All ages,Number,2215
Births,2010,Buncrana Town,Under 20 years,Number,6
Births,2010,Buncrana Town,20 - 24 years,Number,24
Births,2010,Buncrana Town,25 - 29 years,Number,43
Births,2010,Buncrana Town,30 - 34 years,Number,39
Births,2010,Buncrana Town,35 - 39 years,Number,27
Births,2010,Buncrana Town,40 - 44 years,Number,2
Births,2010,Buncrana Town,45 years and over,Number,
Births,2010,Buncrana Town,Age not stated,Number,
Births,2010,Buncrana Town,All ages,Number,141
Births,2010,Bundoran Town,Under 20 years,Number,1
Births,2010,Bundoran Town,20 - 24 years,Number,5
Births,2010,Bundoran Town,25 - 29 years,Number,9
Births,2010,Bundoran Town,30 - 34 years,Number,5
Births,2010,Bundoran Town,35 - 39 years,Number,5
Births,2010,Bundoran Town,40 - 44 years,Number,1
Births,2010,Bundoran Town,45 years and over,Number,
Births,2010,Bundoran Town,Age not stated,Number,
Births,2010,Bundoran Town,All ages,Number,26
Births,2010,Letterkenny Town,Under 20 years,Number,24
Births,2010,Letterkenny Town,20 - 24 years,Number,74
Births,2010,Letterkenny Town,25 - 29 years,Number,138
Births,2010,Letterkenny Town,30 - 34 years,Number,198
Births,2010,Letterkenny Town,35 - 39 years,Number,111
Births,2010,Letterkenny Town,40 - 44 years,Number,23
Births,2010,Letterkenny Town,45 years and over,Number,2
Births,2010,Letterkenny Town,Age not stated,Number,
Births,2010,Letterkenny Town,All ages,Number,570
Births,2010,Ballyshannon,Under 20 years,Number,
Births,2010,Ballyshannon,20 - 24 years,Number,
Births,2010,Ballyshannon,25 - 29 years,Number,
Births,2010,Ballyshannon,30 - 34 years,Number,
Births,2010,Ballyshannon,35 - 39 years,Number,
Births,2010,Ballyshannon,40 - 44 years,Number,
Births,2010,Ballyshannon,45 years and over,Number,
Births,2010,Ballyshannon,Age not stated,Number,
Births,2010,Ballyshannon,All ages,Number,
Births,2010,Rest of Co. Donegal,Under 20 years,Number,35
Births,2010,Rest of Co. Donegal,20 - 24 years,Number,154
Births,2010,Rest of Co. Donegal,25 - 29 years,Number,374
Births,2010,Rest of Co. Donegal,30 - 34 years,Number,521
Births,2010,Rest of Co. Donegal,35 - 39 years,Number,310
Births,2010,Rest of Co. Donegal,40 - 44 years,Number,82
Births,2010,Rest of Co. Donegal,45 years and over,Number,1
Births,2010,Rest of Co. Donegal,Age not stated,Number,1
Births,2010,Rest of Co. Donegal,All ages,Number,1478
Births,2010,Monaghan,Under 20 years,Number,20
Births,2010,Monaghan,20 - 24 years,Number,103
Births,2010,Monaghan,25 - 29 years,Number,227
Births,2010,Monaghan,30 - 34 years,Number,326
Births,2010,Monaghan,35 - 39 years,Number,173
Births,2010,Monaghan,40 - 44 years,Number,36
Births,2010,Monaghan,45 years and over,Number,2
Births,2010,Monaghan,Age not stated,Number,
Births,2010,Monaghan,All ages,Number,887
Births,2010,Carrickmacross Town,Under 20 years,Number,4
Births,2010,Carrickmacross Town,20 - 24 years,Number,23
Births,2010,Carrickmacross Town,25 - 29 years,Number,44
Births,2010,Carrickmacross Town,30 - 34 years,Number,68
Births,2010,Carrickmacross Town,35 - 39 years,Number,35
Births,2010,Carrickmacross Town,40 - 44 years,Number,3
Births,2010,Carrickmacross Town,45 years and over,Number,
Births,2010,Carrickmacross Town,Age not stated,Number,
Births,2010,Carrickmacross Town,All ages,Number,177
Births,2010,Castleblaney Town,Under 20 years,Number,3
Births,2010,Castleblaney Town,20 - 24 years,Number,22
Births,2010,Castleblaney Town,25 - 29 years,Number,41
Births,2010,Castleblaney Town,30 - 34 years,Number,69
Births,2010,Castleblaney Town,35 - 39 years,Number,32
Births,2010,Castleblaney Town,40 - 44 years,Number,5
Births,2010,Castleblaney Town,45 years and over,Number,
Births,2010,Castleblaney Town,Age not stated,Number,
Births,2010,Castleblaney Town,All ages,Number,172
Births,2010,Clones Town,Under 20 years,Number,3
Births,2010,Clones Town,20 - 24 years,Number,6
Births,2010,Clones Town,25 - 29 years,Number,10
Births,2010,Clones Town,30 - 34 years,Number,19
Births,2010,Clones Town,35 - 39 years,Number,11
Births,2010,Clones Town,40 - 44 years,Number,
Births,2010,Clones Town,45 years and over,Number,1
Births,2010,Clones Town,Age not stated,Number,
Births,2010,Clones Town,All ages,Number,50
Births,2010,Monaghan Town,Under 20 years,Number,6
Births,2010,Monaghan Town,20 - 24 years,Number,28
Births,2010,Monaghan Town,25 - 29 years,Number,61
Births,2010,Monaghan Town,30 - 34 years,Number,45
Births,2010,Monaghan Town,35 - 39 years,Number,25
Births,2010,Monaghan Town,40 - 44 years,Number,5
Births,2010,Monaghan Town,45 years and over,Number,
Births,2010,Monaghan Town,Age not stated,Number,
Births,2010,Monaghan Town,All ages,Number,170
Births,2010,Ballybay,Under 20 years,Number,
Births,2010,Ballybay,20 - 24 years,Number,
Births,2010,Ballybay,25 - 29 years,Number,
Births,2010,Ballybay,30 - 34 years,Number,
Births,2010,Ballybay,35 - 39 years,Number,
Births,2010,Ballybay,40 - 44 years,Number,
Births,2010,Ballybay,45 years and over,Number,
Births,2010,Ballybay,Age not stated,Number,
Births,2010,Ballybay,All ages,Number,
Births,2010,Rest of Co. Monaghan,Under 20 years,Number,4
Births,2010,Rest of Co. Monaghan,20 - 24 years,Number,24
Births,2010,Rest of Co. Monaghan,25 - 29 years,Number,71
Births,2010,Rest of Co. Monaghan,30 - 34 years,Number,125
Births,2010,Rest of Co. Monaghan,35 - 39 years,Number,70
Births,2010,Rest of Co. Monaghan,40 - 44 years,Number,23
Births,2010,Rest of Co. Monaghan,45 years and over,Number,1
Births,2010,Rest of Co. Monaghan,Age not stated,Number,
Births,2010,Rest of Co. Monaghan,All ages,Number,318
Births,2010,Towns and Boroughs,Under 20 years,Number,505
Births,2010,Towns and Boroughs,20 - 24 years,Number,1950
Births,2010,Towns and Boroughs,25 - 29 years,Number,4013
Births,2010,Towns and Boroughs,30 - 34 years,Number,5225
Births,2010,Towns and Boroughs,35 - 39 years,Number,3198
Births,2010,Towns and Boroughs,40 - 44 years,Number,668
Births,2010,Towns and Boroughs,45 years and over,Number,27
Births,2010,Towns and Boroughs,Age not stated,Number,4
Births,2010,Towns and Boroughs,All ages,Number,15590
Births,2010,Outside the State,Under 20 years,Number,
Births,2010,Outside the State,20 - 24 years,Number,
Births,2010,Outside the State,25 - 29 years,Number,
Births,2010,Outside the State,30 - 34 years,Number,
Births,2010,Outside the State,35 - 39 years,Number,
Births,2010,Outside the State,40 - 44 years,Number,
Births,2010,Outside the State,45 years and over,Number,
Births,2010,Outside the State,Age not stated,Number,
Births,2010,Outside the State,All ages,Number,
Births,2011,State,Under 20 years,Number,1690
Births,2011,State,20 - 24 years,Number,7321
Births,2011,State,25 - 29 years,Number,16693
Births,2011,State,30 - 34 years,Number,26764
Births,2011,State,35 - 39 years,Number,17726
Births,2011,State,40 - 44 years,Number,3658
Births,2011,State,45 years and over,Number,169
Births,2011,State,Age not stated,Number,12
Births,2011,State,All ages,Number,74033
Births,2011,Dublin City,Under 20 years,Number,255
Births,2011,Dublin City,20 - 24 years,Number,1025
Births,2011,Dublin City,25 - 29 years,Number,1891
Births,2011,Dublin City,30 - 34 years,Number,2670
Births,2011,Dublin City,35 - 39 years,Number,1820
Births,2011,Dublin City,40 - 44 years,Number,400
Births,2011,Dublin City,45 years and over,Number,19
Births,2011,Dublin City,Age not stated,Number,
Births,2011,Dublin City,All ages,Number,8080
Births,2011,Fingal,Under 20 years,Number,107
Births,2011,Fingal,20 - 24 years,Number,485
Births,2011,Fingal,25 - 29 years,Number,1253
Births,2011,Fingal,30 - 34 years,Number,2071
Births,2011,Fingal,35 - 39 years,Number,1344
Births,2011,Fingal,40 - 44 years,Number,286
Births,2011,Fingal,45 years and over,Number,15
Births,2011,Fingal,Age not stated,Number,1
Births,2011,Fingal,All ages,Number,5562
Births,2011,Balbriggan,Under 20 years,Number,
Births,2011,Balbriggan,20 - 24 years,Number,
Births,2011,Balbriggan,25 - 29 years,Number,
Births,2011,Balbriggan,30 - 34 years,Number,
Births,2011,Balbriggan,35 - 39 years,Number,
Births,2011,Balbriggan,40 - 44 years,Number,
Births,2011,Balbriggan,45 years and over,Number,
Births,2011,Balbriggan,Age not stated,Number,
Births,2011,Balbriggan,All ages,Number,
Births,2011,Dun Laoghaire Rathdown,Under 20 years,Number,32
Births,2011,Dun Laoghaire Rathdown,20 - 24 years,Number,169
Births,2011,Dun Laoghaire Rathdown,25 - 29 years,Number,430
Births,2011,Dun Laoghaire Rathdown,30 - 34 years,Number,1046
Births,2011,Dun Laoghaire Rathdown,35 - 39 years,Number,948
Births,2011,Dun Laoghaire Rathdown,40 - 44 years,Number,199
Births,2011,Dun Laoghaire Rathdown,45 years and over,Number,18
Births,2011,Dun Laoghaire Rathdown,Age not stated,Number,
Births,2011,Dun Laoghaire Rathdown,All ages,Number,2842
Births,2011,South Dublin,Under 20 years,Number,158
Births,2011,South Dublin,20 - 24 years,Number,643
Births,2011,South Dublin,25 - 29 years,Number,1278
Births,2011,South Dublin,30 - 34 years,Number,1733
Births,2011,South Dublin,35 - 39 years,Number,1000
Births,2011,South Dublin,40 - 44 years,Number,228
Births,2011,South Dublin,45 years and over,Number,6
Births,2011,South Dublin,Age not stated,Number,2
Births,2011,South Dublin,All ages,Number,5048
Births,2011,Leinster,Under 20 years,Number,1054
Births,2011,Leinster,20 - 24 years,Number,4431
Births,2011,Leinster,25 - 29 years,Number,9767
Births,2011,Leinster,30 - 34 years,Number,15018
Births,2011,Leinster,35 - 39 years,Number,9948
Births,2011,Leinster,40 - 44 years,Number,2055
Births,2011,Leinster,45 years and over,Number,102
Births,2011,Leinster,Age not stated,Number,4
Births,2011,Leinster,All ages,Number,42379
Births,2011,Wicklow,Under 20 years,Number,46
Births,2011,Wicklow,20 - 24 years,Number,210
Births,2011,Wicklow,25 - 29 years,Number,484
Births,2011,Wicklow,30 - 34 years,Number,802
Births,2011,Wicklow,35 - 39 years,Number,580
Births,2011,Wicklow,40 - 44 years,Number,127
Births,2011,Wicklow,45 years and over,Number,7
Births,2011,Wicklow,Age not stated,Number,
Births,2011,Wicklow,All ages,Number,2256
Births,2011,Arklow Town,Under 20 years,Number,6
Births,2011,Arklow Town,20 - 24 years,Number,32
Births,2011,Arklow Town,25 - 29 years,Number,91
Births,2011,Arklow Town,30 - 34 years,Number,77
Births,2011,Arklow Town,35 - 39 years,Number,52
Births,2011,Arklow Town,40 - 44 years,Number,10
Births,2011,Arklow Town,45 years and over,Number,1
Births,2011,Arklow Town,Age not stated,Number,
Births,2011,Arklow Town,All ages,Number,269
Births,2011,Bray Town,Under 20 years,Number,9
Births,2011,Bray Town,20 - 24 years,Number,51
Births,2011,Bray Town,25 - 29 years,Number,118
Births,2011,Bray Town,30 - 34 years,Number,157
Births,2011,Bray Town,35 - 39 years,Number,135
Births,2011,Bray Town,40 - 44 years,Number,24
Births,2011,Bray Town,45 years and over,Number,
Births,2011,Bray Town,Age not stated,Number,
Births,2011,Bray Town,All ages,Number,494
Births,2011,Wicklow Town,Under 20 years,Number,
Births,2011,Wicklow Town,20 - 24 years,Number,5
Births,2011,Wicklow Town,25 - 29 years,Number,7
Births,2011,Wicklow Town,30 - 34 years,Number,8
Births,2011,Wicklow Town,35 - 39 years,Number,11
Births,2011,Wicklow Town,40 - 44 years,Number,3
Births,2011,Wicklow Town,45 years and over,Number,1
Births,2011,Wicklow Town,Age not stated,Number,
Births,2011,Wicklow Town,All ages,Number,35
Births,2011,Greystones,Under 20 years,Number,
Births,2011,Greystones,20 - 24 years,Number,
Births,2011,Greystones,25 - 29 years,Number,
Births,2011,Greystones,30 - 34 years,Number,
Births,2011,Greystones,35 - 39 years,Number,
Births,2011,Greystones,40 - 44 years,Number,
Births,2011,Greystones,45 years and over,Number,
Births,2011,Greystones,Age not stated,Number,
Births,2011,Greystones,All ages,Number,
Births,2011,Rest of Wicklow,Under 20 years,Number,31
Births,2011,Rest of Wicklow,20 - 24 years,Number,122
Births,2011,Rest of Wicklow,25 - 29 years,Number,268
Births,2011,Rest of Wicklow,30 - 34 years,Number,560
Births,2011,Rest of Wicklow,35 - 39 years,Number,382
Births,2011,Rest of Wicklow,40 - 44 years,Number,90
Births,2011,Rest of Wicklow,45 years and over,Number,5
Births,2011,Rest of Wicklow,Age not stated,Number,
Births,2011,Rest of Wicklow,All ages,Number,1458
Births,2011,Carlow,Under 20 years,Number,34
Births,2011,Carlow,20 - 24 years,Number,120
Births,2011,Carlow,25 - 29 years,Number,262
Births,2011,Carlow,30 - 34 years,Number,338
Births,2011,Carlow,35 - 39 years,Number,197
Births,2011,Carlow,40 - 44 years,Number,39
Births,2011,Carlow,45 years and over,Number,2
Births,2011,Carlow,Age not stated,Number,
Births,2011,Carlow,All ages,Number,992
Births,2011,Carlow Town,Under 20 years,Number,21
Births,2011,Carlow Town,20 - 24 years,Number,54
Births,2011,Carlow Town,25 - 29 years,Number,131
Births,2011,Carlow Town,30 - 34 years,Number,144
Births,2011,Carlow Town,35 - 39 years,Number,79
Births,2011,Carlow Town,40 - 44 years,Number,10
Births,2011,Carlow Town,45 years and over,Number,1
Births,2011,Carlow Town,Age not stated,Number,
Births,2011,Carlow Town,All ages,Number,440
Births,2011,Bagenalstown (Muine Bheag),Under 20 years,Number,
Births,2011,Bagenalstown (Muine Bheag),20 - 24 years,Number,
Births,2011,Bagenalstown (Muine Bheag),25 - 29 years,Number,
Births,2011,Bagenalstown (Muine Bheag),30 - 34 years,Number,
Births,2011,Bagenalstown (Muine Bheag),35 - 39 years,Number,
Births,2011,Bagenalstown (Muine Bheag),40 - 44 years,Number,
Births,2011,Bagenalstown (Muine Bheag),45 years and over,Number,
Births,2011,Bagenalstown (Muine Bheag),Age not stated,Number,
Births,2011,Bagenalstown (Muine Bheag),All ages,Number,
Births,2011,Rest of Co. Carlow,Under 20 years,Number,13
Births,2011,Rest of Co. Carlow,20 - 24 years,Number,66
Births,2011,Rest of Co. Carlow,25 - 29 years,Number,131
Births,2011,Rest of Co. Carlow,30 - 34 years,Number,194
Births,2011,Rest of Co. Carlow,35 - 39 years,Number,118
Births,2011,Rest of Co. Carlow,40 - 44 years,Number,29
Births,2011,Rest of Co. Carlow,45 years and over,Number,1
Births,2011,Rest of Co. Carlow,Age not stated,Number,
Births,2011,Rest of Co. Carlow,All ages,Number,552
Births,2011,Kildare,Under 20 years,Number,68
Births,2011,Kildare,20 - 24 years,Number,295
Births,2011,Kildare,25 - 29 years,Number,862
Births,2011,Kildare,30 - 34 years,Number,1446
Births,2011,Kildare,35 - 39 years,Number,986
Births,2011,Kildare,40 - 44 years,Number,181
Births,2011,Kildare,45 years and over,Number,13
Births,2011,Kildare,Age not stated,Number,
Births,2011,Kildare,All ages,Number,3851
Births,2011,Athy Town,Under 20 years,Number,16
Births,2011,Athy Town,20 - 24 years,Number,34
Births,2011,Athy Town,25 - 29 years,Number,104
Births,2011,Athy Town,30 - 34 years,Number,149
Births,2011,Athy Town,35 - 39 years,Number,94
Births,2011,Athy Town,40 - 44 years,Number,19
Births,2011,Athy Town,45 years and over,Number,
Births,2011,Athy Town,Age not stated,Number,
Births,2011,Athy Town,All ages,Number,416
Births,2011,Naas Town,Under 20 years,Number,8
Births,2011,Naas Town,20 - 24 years,Number,39
Births,2011,Naas Town,25 - 29 years,Number,97
Births,2011,Naas Town,30 - 34 years,Number,153
Births,2011,Naas Town,35 - 39 years,Number,117
Births,2011,Naas Town,40 - 44 years,Number,26
Births,2011,Naas Town,45 years and over,Number,
Births,2011,Naas Town,Age not stated,Number,
Births,2011,Naas Town,All ages,Number,440
Births,2011,Leixlip,Under 20 years,Number,
Births,2011,Leixlip,20 - 24 years,Number,
Births,2011,Leixlip,25 - 29 years,Number,
Births,2011,Leixlip,30 - 34 years,Number,
Births,2011,Leixlip,35 - 39 years,Number,
Births,2011,Leixlip,40 - 44 years,Number,
Births,2011,Leixlip,45 years and over,Number,
Births,2011,Leixlip,Age not stated,Number,
Births,2011,Leixlip,All ages,Number,
Births,2011,Newbridge (Droichead Nua),Under 20 years,Number,
Births,2011,Newbridge (Droichead Nua),20 - 24 years,Number,
Births,2011,Newbridge (Droichead Nua),25 - 29 years,Number,
Births,2011,Newbridge (Droichead Nua),30 - 34 years,Number,
Births,2011,Newbridge (Droichead Nua),35 - 39 years,Number,
Births,2011,Newbridge (Droichead Nua),40 - 44 years,Number,
Births,2011,Newbridge (Droichead Nua),45 years and over,Number,
Births,2011,Newbridge (Droichead Nua),Age not stated,Number,
Births,2011,Newbridge (Droichead Nua),All ages,Number,
Births,2011,Rest of Co. Kildare,Under 20 years,Number,44
Births,2011,Rest of Co. Kildare,20 - 24 years,Number,222
Births,2011,Rest of Co. Kildare,25 - 29 years,Number,661
Births,2011,Rest of Co. Kildare,30 - 34 years,Number,1144
Births,2011,Rest of Co. Kildare,35 - 39 years,Number,775
Births,2011,Rest of Co. Kildare,40 - 44 years,Number,136
Births,2011,Rest of Co. Kildare,45 years and over,Number,13
Births,2011,Rest of Co. Kildare,Age not stated,Number,
Births,2011,Rest of Co. Kildare,All ages,Number,2995
Births,2011,Kilkenny,Under 20 years,Number,31
Births,2011,Kilkenny,20 - 24 years,Number,121
Births,2011,Kilkenny,25 - 29 years,Number,304
Births,2011,Kilkenny,30 - 34 years,Number,529
Births,2011,Kilkenny,35 - 39 years,Number,364
Births,2011,Kilkenny,40 - 44 years,Number,70
Births,2011,Kilkenny,45 years and over,Number,6
Births,2011,Kilkenny,Age not stated,Number,
Births,2011,Kilkenny,All ages,Number,1425
Births,2011,Kilkenny Borough,Under 20 years,Number,15
Births,2011,Kilkenny Borough,20 - 24 years,Number,51
Births,2011,Kilkenny Borough,25 - 29 years,Number,115
Births,2011,Kilkenny Borough,30 - 34 years,Number,160
Births,2011,Kilkenny Borough,35 - 39 years,Number,99
Births,2011,Kilkenny Borough,40 - 44 years,Number,13
Births,2011,Kilkenny Borough,45 years and over,Number,3
Births,2011,Kilkenny Borough,Age not stated,Number,
Births,2011,Kilkenny Borough,All ages,Number,456
Births,2011,Rest of Co. Kilkenny,Under 20 years,Number,16
Births,2011,Rest of Co. Kilkenny,20 - 24 years,Number,70
Births,2011,Rest of Co. Kilkenny,25 - 29 years,Number,189
Births,2011,Rest of Co. Kilkenny,30 - 34 years,Number,369
Births,2011,Rest of Co. Kilkenny,35 - 39 years,Number,265
Births,2011,Rest of Co. Kilkenny,40 - 44 years,Number,57
Births,2011,Rest of Co. Kilkenny,45 years and over,Number,3
Births,2011,Rest of Co. Kilkenny,Age not stated,Number,
Births,2011,Rest of Co. Kilkenny,All ages,Number,969
Births,2011,Laois,Under 20 years,Number,40
Births,2011,Laois,20 - 24 years,Number,141
Births,2011,Laois,25 - 29 years,Number,371
Births,2011,Laois,30 - 34 years,Number,460
Births,2011,Laois,35 - 39 years,Number,279
Births,2011,Laois,40 - 44 years,Number,52
Births,2011,Laois,45 years and over,Number,3
Births,2011,Laois,Age not stated,Number,
Births,2011,Laois,All ages,Number,1346
Births,2011,Mountmellick,Under 20 years,Number,
Births,2011,Mountmellick,20 - 24 years,Number,
Births,2011,Mountmellick,25 - 29 years,Number,
Births,2011,Mountmellick,30 - 34 years,Number,
Births,2011,Mountmellick,35 - 39 years,Number,
Births,2011,Mountmellick,40 - 44 years,Number,
Births,2011,Mountmellick,45 years and over,Number,
Births,2011,Mountmellick,Age not stated,Number,
Births,2011,Mountmellick,All ages,Number,
Births,2011,Portlaoise,Under 20 years,Number,
Births,2011,Portlaoise,20 - 24 years,Number,
Births,2011,Portlaoise,25 - 29 years,Number,
Births,2011,Portlaoise,30 - 34 years,Number,
Births,2011,Portlaoise,35 - 39 years,Number,
Births,2011,Portlaoise,40 - 44 years,Number,
Births,2011,Portlaoise,45 years and over,Number,
Births,2011,Portlaoise,Age not stated,Number,
Births,2011,Portlaoise,All ages,Number,
Births,2011,Rest of Co. Laois,Under 20 years,Number,
Births,2011,Rest of Co. Laois,20 - 24 years,Number,
Births,2011,Rest of Co. Laois,25 - 29 years,Number,
Births,2011,Rest of Co. Laois,30 - 34 years,Number,
Births,2011,Rest of Co. Laois,35 - 39 years,Number,
Births,2011,Rest of Co. Laois,40 - 44 years,Number,
Births,2011,Rest of Co. Laois,45 years and over,Number,
Births,2011,Rest of Co. Laois,Age not stated,Number,
Births,2011,Rest of Co. Laois,All ages,Number,
Births,2011,Longford,Under 20 years,Number,21
Births,2011,Longford,20 - 24 years,Number,73
Births,2011,Longford,25 - 29 years,Number,145
Births,2011,Longford,30 - 34 years,Number,198
Births,2011,Longford,35 - 39 years,Number,164
Births,2011,Longford,40 - 44 years,Number,34
Births,2011,Longford,45 years and over,Number,
Births,2011,Longford,Age not stated,Number,
Births,2011,Longford,All ages,Number,635
Births,2011,Longford town,Under 20 years,Number,10
Births,2011,Longford town,20 - 24 years,Number,36
Births,2011,Longford town,25 - 29 years,Number,48
Births,2011,Longford town,30 - 34 years,Number,52
Births,2011,Longford town,35 - 39 years,Number,50
Births,2011,Longford town,40 - 44 years,Number,5
Births,2011,Longford town,45 years and over,Number,
Births,2011,Longford town,Age not stated,Number,
Births,2011,Longford town,All ages,Number,201
Births,2011,Granard,Under 20 years,Number,
Births,2011,Granard,20 - 24 years,Number,
Births,2011,Granard,25 - 29 years,Number,
Births,2011,Granard,30 - 34 years,Number,
Births,2011,Granard,35 - 39 years,Number,
Births,2011,Granard,40 - 44 years,Number,
Births,2011,Granard,45 years and over,Number,
Births,2011,Granard,Age not stated,Number,
Births,2011,Granard,All ages,Number,
Births,2011,Rest of Co. Longford,Under 20 years,Number,11
Births,2011,Rest of Co. Longford,20 - 24 years,Number,37
Births,2011,Rest of Co. Longford,25 - 29 years,Number,97
Births,2011,Rest of Co. Longford,30 - 34 years,Number,146
Births,2011,Rest of Co. Longford,35 - 39 years,Number,114
Births,2011,Rest of Co. Longford,40 - 44 years,Number,29
Births,2011,Rest of Co. Longford,45 years and over,Number,
Births,2011,Rest of Co. Longford,Age not stated,Number,
Births,2011,Rest of Co. Longford,All ages,Number,434
Births,2011,Louth,Under 20 years,Number,65
Births,2011,Louth,20 - 24 years,Number,246
Births,2011,Louth,25 - 29 years,Number,493
Births,2011,Louth,30 - 34 years,Number,635
Births,2011,Louth,35 - 39 years,Number,371
Births,2011,Louth,40 - 44 years,Number,75
Births,2011,Louth,45 years and over,Number,1
Births,2011,Louth,Age not stated,Number,
Births,2011,Louth,All ages,Number,1886
Births,2011,Drogheda Borough,Under 20 years,Number,22
Births,2011,Drogheda Borough,20 - 24 years,Number,98
Births,2011,Drogheda Borough,25 - 29 years,Number,192
Births,2011,Drogheda Borough,30 - 34 years,Number,235
Births,2011,Drogheda Borough,35 - 39 years,Number,146
