Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Total Births,2008,26 years,9,Number,
Total Births,2008,26 years,10 or more,Number,
Total Births,2008,26 years,Not stated,Number,19
Total Births,2008,27 years,Previous liveborn children,Number,3555
Total Births,2008,27 years,0,Number,1791
Total Births,2008,27 years,1,Number,1079
Total Births,2008,27 years,2,Number,459
Total Births,2008,27 years,3,Number,138
Total Births,2008,27 years,4,Number,48
Total Births,2008,27 years,5,Number,17
Total Births,2008,27 years,6,Number,4
Total Births,2008,27 years,7,Number,
Total Births,2008,27 years,8,Number,
Total Births,2008,27 years,9,Number,
Total Births,2008,27 years,10 or more,Number,
Total Births,2008,27 years,Not stated,Number,19
Total Births,2008,28 years,Previous liveborn children,Number,4072
Total Births,2008,28 years,0,Number,1982
Total Births,2008,28 years,1,Number,1306
Total Births,2008,28 years,2,Number,471
Total Births,2008,28 years,3,Number,199
Total Births,2008,28 years,4,Number,68
Total Births,2008,28 years,5,Number,13
Total Births,2008,28 years,6,Number,6
Total Births,2008,28 years,7,Number,1
Total Births,2008,28 years,8,Number,
Total Births,2008,28 years,9,Number,
Total Births,2008,28 years,10 or more,Number,
Total Births,2008,28 years,Not stated,Number,26
Total Births,2008,29 years,Previous liveborn children,Number,4426
Total Births,2008,29 years,0,Number,2104
Total Births,2008,29 years,1,Number,1444
Total Births,2008,29 years,2,Number,576
Total Births,2008,29 years,3,Number,175
Total Births,2008,29 years,4,Number,65
Total Births,2008,29 years,5,Number,26
Total Births,2008,29 years,6,Number,9
Total Births,2008,29 years,7,Number,2
Total Births,2008,29 years,8,Number,1
Total Births,2008,29 years,9,Number,
Total Births,2008,29 years,10 or more,Number,
Total Births,2008,29 years,Not stated,Number,24
Total Births,2008,30 years,Previous liveborn children,Number,4892
Total Births,2008,30 years,0,Number,2211
Total Births,2008,30 years,1,Number,1675
Total Births,2008,30 years,2,Number,622
Total Births,2008,30 years,3,Number,248
Total Births,2008,30 years,4,Number,70
Total Births,2008,30 years,5,Number,22
Total Births,2008,30 years,6,Number,13
Total Births,2008,30 years,7,Number,5
Total Births,2008,30 years,8,Number,
Total Births,2008,30 years,9,Number,1
Total Births,2008,30 years,10 or more,Number,
Total Births,2008,30 years,Not stated,Number,25
Total Births,2008,31 years,Previous liveborn children,Number,5101
Total Births,2008,31 years,0,Number,2209
Total Births,2008,31 years,1,Number,1700
Total Births,2008,31 years,2,Number,767
Total Births,2008,31 years,3,Number,257
Total Births,2008,31 years,4,Number,95
Total Births,2008,31 years,5,Number,24
Total Births,2008,31 years,6,Number,11
Total Births,2008,31 years,7,Number,3
Total Births,2008,31 years,8,Number,
Total Births,2008,31 years,9,Number,
Total Births,2008,31 years,10 or more,Number,
Total Births,2008,31 years,Not stated,Number,35
Total Births,2008,32 years,Previous liveborn children,Number,5272
Total Births,2008,32 years,0,Number,2056
Total Births,2008,32 years,1,Number,1860
Total Births,2008,32 years,2,Number,872
Total Births,2008,32 years,3,Number,303
Total Births,2008,32 years,4,Number,73
Total Births,2008,32 years,5,Number,41
Total Births,2008,32 years,6,Number,16
Total Births,2008,32 years,7,Number,10
Total Births,2008,32 years,8,Number,4
Total Births,2008,32 years,9,Number,
Total Births,2008,32 years,10 or more,Number,
Total Births,2008,32 years,Not stated,Number,37
Total Births,2008,33 years,Previous liveborn children,Number,5181
Total Births,2008,33 years,0,Number,1734
Total Births,2008,33 years,1,Number,1945
Total Births,2008,33 years,2,Number,1018
Total Births,2008,33 years,3,Number,292
Total Births,2008,33 years,4,Number,90
Total Births,2008,33 years,5,Number,29
Total Births,2008,33 years,6,Number,14
Total Births,2008,33 years,7,Number,11
Total Births,2008,33 years,8,Number,1
Total Births,2008,33 years,9,Number,2
Total Births,2008,33 years,10 or more,Number,
Total Births,2008,33 years,Not stated,Number,45
Total Births,2008,34 years,Previous liveborn children,Number,4985
Total Births,2008,34 years,0,Number,1476
Total Births,2008,34 years,1,Number,1897
Total Births,2008,34 years,2,Number,1088
Total Births,2008,34 years,3,Number,343
Total Births,2008,34 years,4,Number,94
Total Births,2008,34 years,5,Number,30
Total Births,2008,34 years,6,Number,14
Total Births,2008,34 years,7,Number,8
Total Births,2008,34 years,8,Number,2
Total Births,2008,34 years,9,Number,2
Total Births,2008,34 years,10 or more,Number,
Total Births,2008,34 years,Not stated,Number,31
Total Births,2008,35 years,Previous liveborn children,Number,4694
Total Births,2008,35 years,0,Number,1233
Total Births,2008,35 years,1,Number,1655
Total Births,2008,35 years,2,Number,1172
Total Births,2008,35 years,3,Number,424
Total Births,2008,35 years,4,Number,111
Total Births,2008,35 years,5,Number,29
Total Births,2008,35 years,6,Number,11
Total Births,2008,35 years,7,Number,11
Total Births,2008,35 years,8,Number,6
Total Births,2008,35 years,9,Number,1
Total Births,2008,35 years,10 or more,Number,3
Total Births,2008,35 years,Not stated,Number,38
Total Births,2008,36 years,Previous liveborn children,Number,4017
Total Births,2008,36 years,0,Number,937
Total Births,2008,36 years,1,Number,1375
Total Births,2008,36 years,2,Number,1035
Total Births,2008,36 years,3,Number,426
Total Births,2008,36 years,4,Number,133
Total Births,2008,36 years,5,Number,44
Total Births,2008,36 years,6,Number,16
Total Births,2008,36 years,7,Number,12
Total Births,2008,36 years,8,Number,6
Total Births,2008,36 years,9,Number,2
Total Births,2008,36 years,10 or more,Number,
Total Births,2008,36 years,Not stated,Number,31
Total Births,2008,37 years,Previous liveborn children,Number,3458
Total Births,2008,37 years,0,Number,726
Total Births,2008,37 years,1,Number,1088
Total Births,2008,37 years,2,Number,1000
Total Births,2008,37 years,3,Number,423
Total Births,2008,37 years,4,Number,119
Total Births,2008,37 years,5,Number,34
Total Births,2008,37 years,6,Number,17
Total Births,2008,37 years,7,Number,12
Total Births,2008,37 years,8,Number,5
Total Births,2008,37 years,9,Number,
Total Births,2008,37 years,10 or more,Number,4
Total Births,2008,37 years,Not stated,Number,30
Total Births,2008,38 years,Previous liveborn children,Number,2669
Total Births,2008,38 years,0,Number,502
Total Births,2008,38 years,1,Number,845
Total Births,2008,38 years,2,Number,776
Total Births,2008,38 years,3,Number,339
Total Births,2008,38 years,4,Number,117
Total Births,2008,38 years,5,Number,37
Total Births,2008,38 years,6,Number,20
Total Births,2008,38 years,7,Number,10
Total Births,2008,38 years,8,Number,8
Total Births,2008,38 years,9,Number,1
Total Births,2008,38 years,10 or more,Number,4
Total Births,2008,38 years,Not stated,Number,10
Total Births,2008,39 years,Previous liveborn children,Number,2075
Total Births,2008,39 years,0,Number,393
Total Births,2008,39 years,1,Number,588
Total Births,2008,39 years,2,Number,576
Total Births,2008,39 years,3,Number,329
Total Births,2008,39 years,4,Number,115
Total Births,2008,39 years,5,Number,32
Total Births,2008,39 years,6,Number,11
Total Births,2008,39 years,7,Number,5
Total Births,2008,39 years,8,Number,7
Total Births,2008,39 years,9,Number,1
Total Births,2008,39 years,10 or more,Number,1
Total Births,2008,39 years,Not stated,Number,17
Total Births,2008,40 years,Previous liveborn children,Number,1318
Total Births,2008,40 years,0,Number,254
Total Births,2008,40 years,1,Number,368
Total Births,2008,40 years,2,Number,339
Total Births,2008,40 years,3,Number,210
Total Births,2008,40 years,4,Number,88
Total Births,2008,40 years,5,Number,27
Total Births,2008,40 years,6,Number,9
Total Births,2008,40 years,7,Number,6
Total Births,2008,40 years,8,Number,4
Total Births,2008,40 years,9,Number,2
Total Births,2008,40 years,10 or more,Number,3
Total Births,2008,40 years,Not stated,Number,8
Total Births,2008,41 years,Previous liveborn children,Number,850
Total Births,2008,41 years,0,Number,173
Total Births,2008,41 years,1,Number,227
Total Births,2008,41 years,2,Number,195
Total Births,2008,41 years,3,Number,139
Total Births,2008,41 years,4,Number,65
Total Births,2008,41 years,5,Number,25
Total Births,2008,41 years,6,Number,13
