Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Total Births,2010,38 years,1,Number,924
Total Births,2010,38 years,2,Number,762
Total Births,2010,38 years,3,Number,346
Total Births,2010,38 years,4,Number,103
Total Births,2010,38 years,5,Number,34
Total Births,2010,38 years,6,Number,11
Total Births,2010,38 years,7,Number,2
Total Births,2010,38 years,8,Number,3
Total Births,2010,38 years,9,Number,3
Total Births,2010,38 years,10 or more,Number,1
Total Births,2010,38 years,Not stated,Number,5
Total Births,2010,39 years,Previous liveborn children,Number,2194
Total Births,2010,39 years,0,Number,433
Total Births,2010,39 years,1,Number,638
Total Births,2010,39 years,2,Number,637
Total Births,2010,39 years,3,Number,313
Total Births,2010,39 years,4,Number,99
Total Births,2010,39 years,5,Number,30
Total Births,2010,39 years,6,Number,15
Total Births,2010,39 years,7,Number,6
Total Births,2010,39 years,8,Number,4
Total Births,2010,39 years,9,Number,3
Total Births,2010,39 years,10 or more,Number,5
Total Births,2010,39 years,Not stated,Number,11
Total Births,2010,40 years,Previous liveborn children,Number,1456
Total Births,2010,40 years,0,Number,297
Total Births,2010,40 years,1,Number,422
Total Births,2010,40 years,2,Number,398
Total Births,2010,40 years,3,Number,217
Total Births,2010,40 years,4,Number,62
Total Births,2010,40 years,5,Number,20
Total Births,2010,40 years,6,Number,16
Total Births,2010,40 years,7,Number,7
Total Births,2010,40 years,8,Number,4
Total Births,2010,40 years,9,Number,3
Total Births,2010,40 years,10 or more,Number,3
Total Births,2010,40 years,Not stated,Number,7
Total Births,2010,41 years,Previous liveborn children,Number,926
Total Births,2010,41 years,0,Number,199
Total Births,2010,41 years,1,Number,283
Total Births,2010,41 years,2,Number,230
Total Births,2010,41 years,3,Number,120
Total Births,2010,41 years,4,Number,55
Total Births,2010,41 years,5,Number,22
Total Births,2010,41 years,6,Number,8
Total Births,2010,41 years,7,Number,6
Total Births,2010,41 years,8,Number,
Total Births,2010,41 years,9,Number,1
Total Births,2010,41 years,10 or more,Number,
Total Births,2010,41 years,Not stated,Number,2
Total Births,2010,42 years,Previous liveborn children,Number,580
Total Births,2010,42 years,0,Number,137
Total Births,2010,42 years,1,Number,164
Total Births,2010,42 years,2,Number,121
Total Births,2010,42 years,3,Number,77
Total Births,2010,42 years,4,Number,38
Total Births,2010,42 years,5,Number,17
Total Births,2010,42 years,6,Number,13
Total Births,2010,42 years,7,Number,4
Total Births,2010,42 years,8,Number,4
Total Births,2010,42 years,9,Number,1
Total Births,2010,42 years,10 or more,Number,1
Total Births,2010,42 years,Not stated,Number,3
Total Births,2010,43 years,Previous liveborn children,Number,319
Total Births,2010,43 years,0,Number,78
Total Births,2010,43 years,1,Number,93
Total Births,2010,43 years,2,Number,65
Total Births,2010,43 years,3,Number,41
Total Births,2010,43 years,4,Number,22
Total Births,2010,43 years,5,Number,7
Total Births,2010,43 years,6,Number,3
Total Births,2010,43 years,7,Number,3
Total Births,2010,43 years,8,Number,2
Total Births,2010,43 years,9,Number,1
Total Births,2010,43 years,10 or more,Number,
Total Births,2010,43 years,Not stated,Number,4
Total Births,2010,44 years,Previous liveborn children,Number,178
Total Births,2010,44 years,0,Number,44
Total Births,2010,44 years,1,Number,50
Total Births,2010,44 years,2,Number,41
Total Births,2010,44 years,3,Number,19
Total Births,2010,44 years,4,Number,12
Total Births,2010,44 years,5,Number,7
Total Births,2010,44 years,6,Number,1
Total Births,2010,44 years,7,Number,3
Total Births,2010,44 years,8,Number,
Total Births,2010,44 years,9,Number,
Total Births,2010,44 years,10 or more,Number,
Total Births,2010,44 years,Not stated,Number,1
Total Births,2010,15 years and under,Previous liveborn children,Number,47
Total Births,2010,15 years and under,0,Number,47
Total Births,2010,15 years and under,1,Number,
Total Births,2010,15 years and under,2,Number,
Total Births,2010,15 years and under,3,Number,
Total Births,2010,15 years and under,4,Number,
Total Births,2010,15 years and under,5,Number,
Total Births,2010,15 years and under,6,Number,
Total Births,2010,15 years and under,7,Number,
Total Births,2010,15 years and under,8,Number,
Total Births,2010,15 years and under,9,Number,
Total Births,2010,15 years and under,10 or more,Number,
Total Births,2010,15 years and under,Not stated,Number,
Total Births,2010,Under 20 years,Previous liveborn children,Number,2043
Total Births,2010,Under 20 years,0,Number,1816
Total Births,2010,Under 20 years,1,Number,198
Total Births,2010,Under 20 years,2,Number,23
Total Births,2010,Under 20 years,3,Number,
Total Births,2010,Under 20 years,4,Number,
Total Births,2010,Under 20 years,5,Number,
Total Births,2010,Under 20 years,6,Number,
Total Births,2010,Under 20 years,7,Number,
Total Births,2010,Under 20 years,8,Number,
Total Births,2010,Under 20 years,9,Number,
Total Births,2010,Under 20 years,10 or more,Number,
Total Births,2010,Under 20 years,Not stated,Number,6
Total Births,2010,20 - 24 years,Previous liveborn children,Number,8087
Total Births,2010,20 - 24 years,0,Number,5147
Total Births,2010,20 - 24 years,1,Number,2276
Total Births,2010,20 - 24 years,2,Number,497
Total Births,2010,20 - 24 years,3,Number,97
Total Births,2010,20 - 24 years,4,Number,27
Total Births,2010,20 - 24 years,5,Number,4
Total Births,2010,20 - 24 years,6,Number,1
Total Births,2010,20 - 24 years,7,Number,
Total Births,2010,20 - 24 years,8,Number,
Total Births,2010,20 - 24 years,9,Number,
Total Births,2010,20 - 24 years,10 or more,Number,
Total Births,2010,20 - 24 years,Not stated,Number,38
Total Births,2010,25 - 29 years,Previous liveborn children,Number,17816
Total Births,2010,25 - 29 years,0,Number,9086
Total Births,2010,25 - 29 years,1,Number,5653
Total Births,2010,25 - 29 years,2,Number,2078
Total Births,2010,25 - 29 years,3,Number,667
Total Births,2010,25 - 29 years,4,Number,165
Total Births,2010,25 - 29 years,5,Number,50
Total Births,2010,25 - 29 years,6,Number,17
Total Births,2010,25 - 29 years,7,Number,4
Total Births,2010,25 - 29 years,8,Number,4
Total Births,2010,25 - 29 years,9,Number,1
Total Births,2010,25 - 29 years,10 or more,Number,
Total Births,2010,25 - 29 years,Not stated,Number,91
Total Births,2010,30 - 34 years,Previous liveborn children,Number,26091
Total Births,2010,30 - 34 years,0,Number,10180
Total Births,2010,30 - 34 years,1,Number,9563
Total Births,2010,30 - 34 years,2,Number,4229
Total Births,2010,30 - 34 years,3,Number,1306
Total Births,2010,30 - 34 years,4,Number,446
Total Births,2010,30 - 34 years,5,Number,155
Total Births,2010,30 - 34 years,6,Number,54
Total Births,2010,30 - 34 years,7,Number,38
Total Births,2010,30 - 34 years,8,Number,15
Total Births,2010,30 - 34 years,9,Number,2
Total Births,2010,30 - 34 years,10 or more,Number,4
Total Births,2010,30 - 34 years,Not stated,Number,99
Total Births,2010,35 - 39 years,Previous liveborn children,Number,17484
Total Births,2010,35 - 39 years,0,Number,4034
Total Births,2010,35 - 39 years,1,Number,6013
Total Births,2010,35 - 39 years,2,Number,4601
Total Births,2010,35 - 39 years,3,Number,1865
Total Births,2010,35 - 39 years,4,Number,559
Total Births,2010,35 - 39 years,5,Number,184
Total Births,2010,35 - 39 years,6,Number,73
Total Births,2010,35 - 39 years,7,Number,38
Total Births,2010,35 - 39 years,8,Number,21
Total Births,2010,35 - 39 years,9,Number,14
Total Births,2010,35 - 39 years,10 or more,Number,11
Total Births,2010,35 - 39 years,Not stated,Number,71
Total Births,2010,40 - 44 years,Previous liveborn children,Number,3459
Total Births,2010,40 - 44 years,0,Number,755
Total Births,2010,40 - 44 years,1,Number,1012
Total Births,2010,40 - 44 years,2,Number,855
Total Births,2010,40 - 44 years,3,Number,474
Total Births,2010,40 - 44 years,4,Number,189
Total Births,2010,40 - 44 years,5,Number,73
Total Births,2010,40 - 44 years,6,Number,41
Total Births,2010,40 - 44 years,7,Number,23
Total Births,2010,40 - 44 years,8,Number,10
Total Births,2010,40 - 44 years,9,Number,6
Total Births,2010,40 - 44 years,10 or more,Number,4
Total Births,2010,40 - 44 years,Not stated,Number,17
Total Births,2010,45 years and over,Previous liveborn children,Number,172
Total Births,2010,45 years and over,0,Number,50
Total Births,2010,45 years and over,1,Number,49
Total Births,2010,45 years and over,2,Number,32
Total Births,2010,45 years and over,3,Number,16
Total Births,2010,45 years and over,4,Number,15
Total Births,2010,45 years and over,5,Number,2
Total Births,2010,45 years and over,6,Number,4
Total Births,2010,45 years and over,7,Number,1
Total Births,2010,45 years and over,8,Number,2
Total Births,2010,45 years and over,9,Number,
Total Births,2010,45 years and over,10 or more,Number,
Total Births,2010,45 years and over,Not stated,Number,1
Total Births,2010,Age not stated,Previous liveborn children,Number,22
Total Births,2010,Age not stated,0,Number,10
Total Births,2010,Age not stated,1,Number,6
Total Births,2010,Age not stated,2,Number,2
Total Births,2010,Age not stated,3,Number,3
Total Births,2010,Age not stated,4,Number,1
Total Births,2010,Age not stated,5,Number,
Total Births,2010,Age not stated,6,Number,
Total Births,2010,Age not stated,7,Number,
Total Births,2010,Age not stated,8,Number,
Total Births,2010,Age not stated,9,Number,
Total Births,2010,Age not stated,10 or more,Number,
Total Births,2010,Age not stated,Not stated,Number,
Total Births,2010,All ages,Previous liveborn children,Number,75174
Total Births,2010,All ages,0,Number,31078
Total Births,2010,All ages,1,Number,24770
Total Births,2010,All ages,2,Number,12317
Total Births,2010,All ages,3,Number,4428
Total Births,2010,All ages,4,Number,1402
Total Births,2010,All ages,5,Number,468
Total Births,2010,All ages,6,Number,190
Total Births,2010,All ages,7,Number,104
Total Births,2010,All ages,8,Number,52
Total Births,2010,All ages,9,Number,23
Total Births,2010,All ages,10 or more,Number,19
Total Births,2010,All ages,Not stated,Number,323
Total Births,2011,16 years,Previous liveborn children,Number,103
Total Births,2011,16 years,0,Number,102
Total Births,2011,16 years,1,Number,1
Total Births,2011,16 years,2,Number,
Total Births,2011,16 years,3,Number,
Total Births,2011,16 years,4,Number,
Total Births,2011,16 years,5,Number,
Total Births,2011,16 years,6,Number,
Total Births,2011,16 years,7,Number,
Total Births,2011,16 years,8,Number,
Total Births,2011,16 years,9,Number,
Total Births,2011,16 years,10 or more,Number,
Total Births,2011,16 years,Not stated,Number,
Total Births,2011,17 years,Previous liveborn children,Number,252
Total Births,2011,17 years,0,Number,242
Total Births,2011,17 years,1,Number,9
Total Births,2011,17 years,2,Number,1
Total Births,2011,17 years,3,Number,
Total Births,2011,17 years,4,Number,
Total Births,2011,17 years,5,Number,
Total Births,2011,17 years,6,Number,
Total Births,2011,17 years,7,Number,
Total Births,2011,17 years,8,Number,
Total Births,2011,17 years,9,Number,
Total Births,2011,17 years,10 or more,Number,
Total Births,2011,17 years,Not stated,Number,
Total Births,2011,18 years,Previous liveborn children,Number,462
Total Births,2011,18 years,0,Number,409
Total Births,2011,18 years,1,Number,47
Total Births,2011,18 years,2,Number,6
Total Births,2011,18 years,3,Number,
Total Births,2011,18 years,4,Number,
Total Births,2011,18 years,5,Number,
Total Births,2011,18 years,6,Number,
Total Births,2011,18 years,7,Number,
Total Births,2011,18 years,8,Number,
Total Births,2011,18 years,9,Number,
Total Births,2011,18 years,10 or more,Number,
Total Births,2011,18 years,Not stated,Number,
Total Births,2011,19 years,Previous liveborn children,Number,837
Total Births,2011,19 years,0,Number,711
Total Births,2011,19 years,1,Number,111
Total Births,2011,19 years,2,Number,11
Total Births,2011,19 years,3,Number,2
Total Births,2011,19 years,4,Number,
Total Births,2011,19 years,5,Number,
Total Births,2011,19 years,6,Number,
Total Births,2011,19 years,7,Number,
Total Births,2011,19 years,8,Number,
Total Births,2011,19 years,9,Number,
Total Births,2011,19 years,10 or more,Number,
Total Births,2011,19 years,Not stated,Number,2
Total Births,2011,20 years,Previous liveborn children,Number,1099
Total Births,2011,20 years,0,Number,846
Total Births,2011,20 years,1,Number,204
Total Births,2011,20 years,2,Number,38
Total Births,2011,20 years,3,Number,6
Total Births,2011,20 years,4,Number,1
Total Births,2011,20 years,5,Number,
Total Births,2011,20 years,6,Number,
Total Births,2011,20 years,7,Number,
Total Births,2011,20 years,8,Number,
Total Births,2011,20 years,9,Number,
Total Births,2011,20 years,10 or more,Number,
Total Births,2011,20 years,Not stated,Number,4
Total Births,2011,21 years,Previous liveborn children,Number,1234
Total Births,2011,21 years,0,Number,840
Total Births,2011,21 years,1,Number,333
Total Births,2011,21 years,2,Number,50
Total Births,2011,21 years,3,Number,3
Total Births,2011,21 years,4,Number,1
Total Births,2011,21 years,5,Number,
Total Births,2011,21 years,6,Number,1
Total Births,2011,21 years,7,Number,
Total Births,2011,21 years,8,Number,
Total Births,2011,21 years,9,Number,
Total Births,2011,21 years,10 or more,Number,
Total Births,2011,21 years,Not stated,Number,6
Total Births,2011,22 years,Previous liveborn children,Number,1364
Total Births,2011,22 years,0,Number,843
Total Births,2011,22 years,1,Number,403
Total Births,2011,22 years,2,Number,91
Total Births,2011,22 years,3,Number,14
Total Births,2011,22 years,4,Number,4
Total Births,2011,22 years,5,Number,1
Total Births,2011,22 years,6,Number,
Total Births,2011,22 years,7,Number,
Total Births,2011,22 years,8,Number,
Total Births,2011,22 years,9,Number,
Total Births,2011,22 years,10 or more,Number,
Total Births,2011,22 years,Not stated,Number,8
Total Births,2011,23 years,Previous liveborn children,Number,1694
Total Births,2011,23 years,0,Number,974
Total Births,2011,23 years,1,Number,545
Total Births,2011,23 years,2,Number,126
Total Births,2011,23 years,3,Number,35
Total Births,2011,23 years,4,Number,3
Total Births,2011,23 years,5,Number,2
Total Births,2011,23 years,6,Number,
Total Births,2011,23 years,7,Number,
Total Births,2011,23 years,8,Number,
Total Births,2011,23 years,9,Number,
Total Births,2011,23 years,10 or more,Number,
Total Births,2011,23 years,Not stated,Number,9
Total Births,2011,24 years,Previous liveborn children,Number,1930
Total Births,2011,24 years,0,Number,1014
Total Births,2011,24 years,1,Number,692
Total Births,2011,24 years,2,Number,163
Total Births,2011,24 years,3,Number,43
Total Births,2011,24 years,4,Number,12
Total Births,2011,24 years,5,Number,1
Total Births,2011,24 years,6,Number,
Total Births,2011,24 years,7,Number,
Total Births,2011,24 years,8,Number,
Total Births,2011,24 years,9,Number,
Total Births,2011,24 years,10 or more,Number,
Total Births,2011,24 years,Not stated,Number,5
Total Births,2011,25 years,Previous liveborn children,Number,2383
Total Births,2011,25 years,0,Number,1239
Total Births,2011,25 years,1,Number,791
Total Births,2011,25 years,2,Number,252
Total Births,2011,25 years,3,Number,76
Total Births,2011,25 years,4,Number,13
Total Births,2011,25 years,5,Number,2
Total Births,2011,25 years,6,Number,
Total Births,2011,25 years,7,Number,
Total Births,2011,25 years,8,Number,
Total Births,2011,25 years,9,Number,
Total Births,2011,25 years,10 or more,Number,
Total Births,2011,25 years,Not stated,Number,10
Total Births,2011,26 years,Previous liveborn children,Number,2756
Total Births,2011,26 years,0,Number,1344
Total Births,2011,26 years,1,Number,950
Total Births,2011,26 years,2,Number,321
Total Births,2011,26 years,3,Number,97
Total Births,2011,26 years,4,Number,28
Total Births,2011,26 years,5,Number,5
Total Births,2011,26 years,6,Number,1
Total Births,2011,26 years,7,Number,
Total Births,2011,26 years,8,Number,
Total Births,2011,26 years,9,Number,
Total Births,2011,26 years,10 or more,Number,
Total Births,2011,26 years,Not stated,Number,10
Total Births,2011,27 years,Previous liveborn children,Number,3300
Total Births,2011,27 years,0,Number,1571
Total Births,2011,27 years,1,Number,1150
Total Births,2011,27 years,2,Number,394
Total Births,2011,27 years,3,Number,125
Total Births,2011,27 years,4,Number,35
Total Births,2011,27 years,5,Number,5
Total Births,2011,27 years,6,Number,1
Total Births,2011,27 years,7,Number,
Total Births,2011,27 years,8,Number,1
Total Births,2011,27 years,9,Number,
Total Births,2011,27 years,10 or more,Number,
Total Births,2011,27 years,Not stated,Number,18
Total Births,2011,28 years,Previous liveborn children,Number,3901
Total Births,2011,28 years,0,Number,1858
Total Births,2011,28 years,1,Number,1317
Total Births,2011,28 years,2,Number,500
Total Births,2011,28 years,3,Number,147
Total Births,2011,28 years,4,Number,41
Total Births,2011,28 years,5,Number,18
Total Births,2011,28 years,6,Number,3
Total Births,2011,28 years,7,Number,
Total Births,2011,28 years,8,Number,
Total Births,2011,28 years,9,Number,
Total Births,2011,28 years,10 or more,Number,
Total Births,2011,28 years,Not stated,Number,17
Total Births,2011,29 years,Previous liveborn children,Number,4353
Total Births,2011,29 years,0,Number,2026
Total Births,2011,29 years,1,Number,1440
Total Births,2011,29 years,2,Number,565
Total Births,2011,29 years,3,Number,195
Total Births,2011,29 years,4,Number,68
Total Births,2011,29 years,5,Number,22
Total Births,2011,29 years,6,Number,9
Total Births,2011,29 years,7,Number,3
Total Births,2011,29 years,8,Number,1
Total Births,2011,29 years,9,Number,1
Total Births,2011,29 years,10 or more,Number,
Total Births,2011,29 years,Not stated,Number,23
Total Births,2011,30 years,Previous liveborn children,Number,4923
Total Births,2011,30 years,0,Number,2248
Total Births,2011,30 years,1,Number,1689
Total Births,2011,30 years,2,Number,637
Total Births,2011,30 years,3,Number,213
Total Births,2011,30 years,4,Number,66
Total Births,2011,30 years,5,Number,25
Total Births,2011,30 years,6,Number,12
Total Births,2011,30 years,7,Number,3
Total Births,2011,30 years,8,Number,2
Total Births,2011,30 years,9,Number,2
Total Births,2011,30 years,10 or more,Number,
Total Births,2011,30 years,Not stated,Number,26
Total Births,2011,31 years,Previous liveborn children,Number,5593
Total Births,2011,31 years,0,Number,2400
Total Births,2011,31 years,1,Number,2020
Total Births,2011,31 years,2,Number,786
Total Births,2011,31 years,3,Number,223
Total Births,2011,31 years,4,Number,83
Total Births,2011,31 years,5,Number,44
Total Births,2011,31 years,6,Number,10
Total Births,2011,31 years,7,Number,3
Total Births,2011,31 years,8,Number,1
Total Births,2011,31 years,9,Number,1
Total Births,2011,31 years,10 or more,Number,
Total Births,2011,31 years,Not stated,Number,22
Total Births,2011,32 years,Previous liveborn children,Number,5722
Total Births,2011,32 years,0,Number,2170
Total Births,2011,32 years,1,Number,2135
Total Births,2011,32 years,2,Number,936
Total Births,2011,32 years,3,Number,302
Total Births,2011,32 years,4,Number,97
Total Births,2011,32 years,5,Number,30
Total Births,2011,32 years,6,Number,13
Total Births,2011,32 years,7,Number,3
Total Births,2011,32 years,8,Number,3
Total Births,2011,32 years,9,Number,1
Total Births,2011,32 years,10 or more,Number,
Total Births,2011,32 years,Not stated,Number,32
Total Births,2011,33 years,Previous liveborn children,Number,5344
Total Births,2011,33 years,0,Number,1787
Total Births,2011,33 years,1,Number,2072
Total Births,2011,33 years,2,Number,994
Total Births,2011,33 years,3,Number,303
Total Births,2011,33 years,4,Number,90
Total Births,2011,33 years,5,Number,38
Total Births,2011,33 years,6,Number,15
Total Births,2011,33 years,7,Number,7
Total Births,2011,33 years,8,Number,5
Total Births,2011,33 years,9,Number,1
Total Births,2011,33 years,10 or more,Number,
Total Births,2011,33 years,Not stated,Number,32
Total Births,2011,34 years,Previous liveborn children,Number,5182
Total Births,2011,34 years,0,Number,1548
Total Births,2011,34 years,1,Number,2022
Total Births,2011,34 years,2,Number,1094
Total Births,2011,34 years,3,Number,334
Total Births,2011,34 years,4,Number,96
Total Births,2011,34 years,5,Number,38
Total Births,2011,34 years,6,Number,19
Total Births,2011,34 years,7,Number,4
Total Births,2011,34 years,8,Number,2
Total Births,2011,34 years,9,Number,3
Total Births,2011,34 years,10 or more,Number,
Total Births,2011,34 years,Not stated,Number,22
Total Births,2011,35 years,Previous liveborn children,Number,4722
Total Births,2011,35 years,0,Number,1248
Total Births,2011,35 years,1,Number,1789
Total Births,2011,35 years,2,Number,1131
Total Births,2011,35 years,3,Number,356
Total Births,2011,35 years,4,Number,109
Total Births,2011,35 years,5,Number,40
Total Births,2011,35 years,6,Number,12
Total Births,2011,35 years,7,Number,4
Total Births,2011,35 years,8,Number,6
Total Births,2011,35 years,9,Number,1
Total Births,2011,35 years,10 or more,Number,1
Total Births,2011,35 years,Not stated,Number,25
Total Births,2011,36 years,Previous liveborn children,Number,4179
Total Births,2011,36 years,0,Number,1018
Total Births,2011,36 years,1,Number,1465
Total Births,2011,36 years,2,Number,1088
Total Births,2011,36 years,3,Number,401
Total Births,2011,36 years,4,Number,111
Total Births,2011,36 years,5,Number,41
Total Births,2011,36 years,6,Number,13
Total Births,2011,36 years,7,Number,11
Total Births,2011,36 years,8,Number,9
Total Births,2011,36 years,9,Number,2
Total Births,2011,36 years,10 or more,Number,2
Total Births,2011,36 years,Not stated,Number,18
Total Births,2011,37 years,Previous liveborn children,Number,3529
Total Births,2011,37 years,0,Number,819
Total Births,2011,37 years,1,Number,1175
Total Births,2011,37 years,2,Number,933
Total Births,2011,37 years,3,Number,414
Total Births,2011,37 years,4,Number,103
Total Births,2011,37 years,5,Number,44
Total Births,2011,37 years,6,Number,12
Total Births,2011,37 years,7,Number,9
Total Births,2011,37 years,8,Number,3
Total Births,2011,37 years,9,Number,1
Total Births,2011,37 years,10 or more,Number,1
Total Births,2011,37 years,Not stated,Number,15
Total Births,2011,38 years,Previous liveborn children,Number,2998
Total Births,2011,38 years,0,Number,595
Total Births,2011,38 years,1,Number,950
Total Births,2011,38 years,2,Number,878
Total Births,2011,38 years,3,Number,370
Total Births,2011,38 years,4,Number,114
Total Births,2011,38 years,5,Number,36
Total Births,2011,38 years,6,Number,16
Total Births,2011,38 years,7,Number,4
Total Births,2011,38 years,8,Number,5
Total Births,2011,38 years,9,Number,4
Total Births,2011,38 years,10 or more,Number,5
Total Births,2011,38 years,Not stated,Number,21
Total Births,2011,39 years,Previous liveborn children,Number,2298
Total Births,2011,39 years,0,Number,454
Total Births,2011,39 years,1,Number,707
Total Births,2011,39 years,2,Number,676
Total Births,2011,39 years,3,Number,289
Total Births,2011,39 years,4,Number,95
Total Births,2011,39 years,5,Number,31
Total Births,2011,39 years,6,Number,13
Total Births,2011,39 years,7,Number,9
Total Births,2011,39 years,8,Number,3
Total Births,2011,39 years,9,Number,
Total Births,2011,39 years,10 or more,Number,4
Total Births,2011,39 years,Not stated,Number,17
Total Births,2011,40 years,Previous liveborn children,Number,1554
Total Births,2011,40 years,0,Number,326
Total Births,2011,40 years,1,Number,497
Total Births,2011,40 years,2,Number,395
Total Births,2011,40 years,3,Number,200
Total Births,2011,40 years,4,Number,68
Total Births,2011,40 years,5,Number,24
Total Births,2011,40 years,6,Number,9
Total Births,2011,40 years,7,Number,8
Total Births,2011,40 years,8,Number,6
Total Births,2011,40 years,9,Number,1
Total Births,2011,40 years,10 or more,Number,3
Total Births,2011,40 years,Not stated,Number,17
Total Births,2011,41 years,Previous liveborn children,Number,1010
Total Births,2011,41 years,0,Number,218
Total Births,2011,41 years,1,Number,274
Total Births,2011,41 years,2,Number,278
Total Births,2011,41 years,3,Number,117
Total Births,2011,41 years,4,Number,63
Total Births,2011,41 years,5,Number,29
Total Births,2011,41 years,6,Number,11
Total Births,2011,41 years,7,Number,8
Total Births,2011,41 years,8,Number,5
Total Births,2011,41 years,9,Number,3
Total Births,2011,41 years,10 or more,Number,
Total Births,2011,41 years,Not stated,Number,4
Total Births,2011,42 years,Previous liveborn children,Number,618
Total Births,2011,42 years,0,Number,158
Total Births,2011,42 years,1,Number,190
Total Births,2011,42 years,2,Number,152
Total Births,2011,42 years,3,Number,70
Total Births,2011,42 years,4,Number,24
Total Births,2011,42 years,5,Number,10
Total Births,2011,42 years,6,Number,4
Total Births,2011,42 years,7,Number,3
Total Births,2011,42 years,8,Number,3
Total Births,2011,42 years,9,Number,
Total Births,2011,42 years,10 or more,Number,1
Total Births,2011,42 years,Not stated,Number,3
Total Births,2011,43 years,Previous liveborn children,Number,325
Total Births,2011,43 years,0,Number,70
Total Births,2011,43 years,1,Number,91
Total Births,2011,43 years,2,Number,75
Total Births,2011,43 years,3,Number,39
Total Births,2011,43 years,4,Number,28
Total Births,2011,43 years,5,Number,10
Total Births,2011,43 years,6,Number,6
Total Births,2011,43 years,7,Number,2
Total Births,2011,43 years,8,Number,1
Total Births,2011,43 years,9,Number,
Total Births,2011,43 years,10 or more,Number,1
Total Births,2011,43 years,Not stated,Number,2
Total Births,2011,44 years,Previous liveborn children,Number,151
Total Births,2011,44 years,0,Number,38
Total Births,2011,44 years,1,Number,42
Total Births,2011,44 years,2,Number,29
Total Births,2011,44 years,3,Number,14
Total Births,2011,44 years,4,Number,14
Total Births,2011,44 years,5,Number,6
Total Births,2011,44 years,6,Number,1
Total Births,2011,44 years,7,Number,2
Total Births,2011,44 years,8,Number,1
Total Births,2011,44 years,9,Number,
Total Births,2011,44 years,10 or more,Number,2
Total Births,2011,44 years,Not stated,Number,2
Total Births,2011,15 years and under,Previous liveborn children,Number,36
Total Births,2011,15 years and under,0,Number,34
Total Births,2011,15 years and under,1,Number,2
Total Births,2011,15 years and under,2,Number,
Total Births,2011,15 years and under,3,Number,
Total Births,2011,15 years and under,4,Number,
Total Births,2011,15 years and under,5,Number,
Total Births,2011,15 years and under,6,Number,
Total Births,2011,15 years and under,7,Number,
Total Births,2011,15 years and under,8,Number,
Total Births,2011,15 years and under,9,Number,
Total Births,2011,15 years and under,10 or more,Number,
Total Births,2011,15 years and under,Not stated,Number,
Total Births,2011,Under 20 years,Previous liveborn children,Number,1690
Total Births,2011,Under 20 years,0,Number,1498
Total Births,2011,Under 20 years,1,Number,170
Total Births,2011,Under 20 years,2,Number,18
Total Births,2011,Under 20 years,3,Number,2
Total Births,2011,Under 20 years,4,Number,
Total Births,2011,Under 20 years,5,Number,
Total Births,2011,Under 20 years,6,Number,
Total Births,2011,Under 20 years,7,Number,
Total Births,2011,Under 20 years,8,Number,
Total Births,2011,Under 20 years,9,Number,
Total Births,2011,Under 20 years,10 or more,Number,
Total Births,2011,Under 20 years,Not stated,Number,2
Total Births,2011,20 - 24 years,Previous liveborn children,Number,7321
Total Births,2011,20 - 24 years,0,Number,4517
Total Births,2011,20 - 24 years,1,Number,2177
Total Births,2011,20 - 24 years,2,Number,468
Total Births,2011,20 - 24 years,3,Number,101
Total Births,2011,20 - 24 years,4,Number,21
Total Births,2011,20 - 24 years,5,Number,4
Total Births,2011,20 - 24 years,6,Number,1
Total Births,2011,20 - 24 years,7,Number,
Total Births,2011,20 - 24 years,8,Number,
Total Births,2011,20 - 24 years,9,Number,
Total Births,2011,20 - 24 years,10 or more,Number,
Total Births,2011,20 - 24 years,Not stated,Number,32
Total Births,2011,25 - 29 years,Previous liveborn children,Number,16693
Total Births,2011,25 - 29 years,0,Number,8038
Total Births,2011,25 - 29 years,1,Number,5648
Total Births,2011,25 - 29 years,2,Number,2032
Total Births,2011,25 - 29 years,3,Number,640
Total Births,2011,25 - 29 years,4,Number,185
Total Births,2011,25 - 29 years,5,Number,52
Total Births,2011,25 - 29 years,6,Number,14
Total Births,2011,25 - 29 years,7,Number,3
Total Births,2011,25 - 29 years,8,Number,2
Total Births,2011,25 - 29 years,9,Number,1
Total Births,2011,25 - 29 years,10 or more,Number,
Total Births,2011,25 - 29 years,Not stated,Number,78
Total Births,2011,30 - 34 years,Previous liveborn children,Number,26764
Total Births,2011,30 - 34 years,0,Number,10153
Total Births,2011,30 - 34 years,1,Number,9938
Total Births,2011,30 - 34 years,2,Number,4447
Total Births,2011,30 - 34 years,3,Number,1375
Total Births,2011,30 - 34 years,4,Number,432
Total Births,2011,30 - 34 years,5,Number,175
Total Births,2011,30 - 34 years,6,Number,69
Total Births,2011,30 - 34 years,7,Number,20
Total Births,2011,30 - 34 years,8,Number,13
Total Births,2011,30 - 34 years,9,Number,8
Total Births,2011,30 - 34 years,10 or more,Number,
Total Births,2011,30 - 34 years,Not stated,Number,134
Total Births,2011,35 - 39 years,Previous liveborn children,Number,17726
Total Births,2011,35 - 39 years,0,Number,4134
Total Births,2011,35 - 39 years,1,Number,6086
Total Births,2011,35 - 39 years,2,Number,4706
Total Births,2011,35 - 39 years,3,Number,1830
Total Births,2011,35 - 39 years,4,Number,532
Total Births,2011,35 - 39 years,5,Number,192
Total Births,2011,35 - 39 years,6,Number,66
